ProjectID, Type, Pol, Scan, MJDate, Source, PointingModel, J2000RA, J2000Dec, ObsFreq, Obsc_Az, Obsc_El, Mnt_Az, Mnt_El, Peak, PeakError, Width, WidthError, Offset, OffsetError, BaselineRMS, AzRate, ElRate, TCal, TSys
AGBT17A_998_31,    ElB, RCP,    8, 57897.870405, 1055+018, Model 5s - latest, 164.62337500,   1.56633889,   1.66800000, 117.44501194,  32.22542024, 117.42732269,  32.31279372,   4.27263393,   0.04442819, 444.36959782,   5.33551911,  17.69350673,   2.26578635,   0.08228811,  12.80386467, -249.22040056,   1.45254792,  16.06918867
AGBT17A_998_31,    AzF, LCP,    9, 57897.873102, 1055+018, Model 5s - latest, 164.62337500,   1.56633889,   1.66800000, 118.27748288,  32.89884357, 118.25953491,  32.98662316,   4.70076660,   0.01598863, 435.48783214,   1.71036164,   6.21605858,   0.72632371,   0.04700830, 322.45572477,  10.34608331,   1.41209981,  17.17718450
AGBT17A_998_31,    AzF, RCP,    9, 57897.873102, 1055+018, Model 5s - latest, 164.62337500,   1.56633889,   1.66800000, 118.27748288,  32.89884357, 118.25953491,  32.98662316,   4.25179766,   0.03066954, 461.07376925,   3.84038203,   6.89536331,   1.63086009,   0.09752617, 322.45572477,  10.34608331,   1.45254792,  16.32201744
AGBT17A_998_31,    AzB, LCP,   10, 57897.873634, 1055+018, Model 5s - latest, 164.62337500,   1.56633889,   1.66800000, 118.44328063,  33.03122509, 118.42553375,  33.11908036,   4.63332741,   0.01632599, 430.02762111,   1.74965402,  -2.41688244,   0.74300965,   0.04751689, -297.19367562,  10.28642943,   1.41209981,  17.11208609
AGBT17A_998_31,    AzB, RCP,   10, 57897.873634, 1055+018, Model 5s - latest, 164.62337500,   1.56633889,   1.66800000, 118.44328063,  33.03122509, 118.42553375,  33.11908036,   4.28710913,   0.01355122, 458.19360959,   1.67236971,  -3.10966324,   0.71019003,   0.04064727, -297.19367562,  10.28642943,   1.45254792,  16.40715777
AGBT17A_998_31,    ElF, LCP,   11, 57897.874282, 1055+018, Model 5s - latest, 164.62337500,   1.56633889,   1.66800000, 118.64577592,  33.19207135, 118.62794330,  33.27995879,   4.64779193,   0.01763888, 458.13409735,   2.00764238,  20.54076444,   0.85256722,   0.05370878,  13.78195737, 270.05262969,   1.41209981,  17.09794787
AGBT17A_998_31,    ElF, RCP,   11, 57897.874282, 1055+018, Model 5s - latest, 164.62337500,   1.56633889,   1.66800000, 118.64577592,  33.19207135, 118.62794330,  33.27995879,   4.30889509,   0.02019982, 428.38635585,   2.31892474,  20.08593263,   0.98475667,   0.05601943,  13.78195737, 270.05262969,   1.45254792,  16.12261738
AGBT17A_998_31,    ElB, LCP,   12, 57897.874803, 1055+018, Model 5s - latest, 164.62337500,   1.56633889,   1.66800000, 118.80901982,  33.32109615, 118.79120487,  33.40959652,   4.63250167,   0.01276838, 457.65428856,   1.45655619,   9.87905208,   0.61854246,   0.03699145,  13.04546529, -249.24402560,   1.41209981,  17.04023465
AGBT17A_998_31,    ElB, RCP,   12, 57897.874803, 1055+018, Model 5s - latest, 164.62337500,   1.56633889,   1.66800000, 118.80901982,  33.32109615, 118.79120487,  33.40959652,   4.32543137,   0.02549204, 426.85226242,   2.90483936,  10.11311701,   1.23357170,   0.07376729,  13.04546529, -249.24402560,   1.45254792,  16.35476061
AGBT17A_998_31,    AzF, LCP,   13, 57897.876007, 1055+018, Model 5s - latest, 164.62337500,   1.56633889,   1.66800000, 119.18810030,  33.61844198, 119.17029160,  33.70621532,   4.61496441,   0.02254687, 431.97117682,   2.43692440,   2.27378479,   1.03486651,   0.06168584, 324.88517314,  10.29964211,   1.41209981,  16.98294164
AGBT17A_998_31,    AzF, RCP,   13, 57897.876007, 1055+018, Model 5s - latest, 164.62337500,   1.56633889,   1.66800000, 119.18810030,  33.61844198, 119.17029160,  33.70621532,   4.27520411,   0.04008068, 474.51982772,   5.13690952,  -3.54123729,   2.18144462,   0.08907058, 324.88517314,  10.29964211,   1.45254792,  16.23050573
AGBT17A_998_31,    AzB, LCP,   14, 57897.876539, 1055+018, Model 5s - latest, 164.62337500,   1.56633889,   1.66800000, 119.35658196,  33.74959688, 119.33903045,  33.83744855,   4.62515187,   0.04304063, 442.14816712,   4.75105292,  -6.19685324,   2.01758641,   0.13003748, -299.49571381,  10.23163559,   1.41209981,  16.84866088
AGBT17A_998_31,    AzB, RCP,   14, 57897.876539, 1055+018, Model 5s - latest, 164.62337500,   1.56633889,   1.66800000, 119.35658196,  33.74959688, 119.33903045,  33.83744855,   4.25513482,   0.03467377, 465.59448915,   4.38091591,  -6.05191672,   1.86040369,   0.11093261, -299.49571381,  10.23163559,   1.45254792,  16.21849410
AGBT17A_998_31,    ElF, LCP,   15, 57897.877188, 1055+018, Model 5s - latest, 164.62337500,   1.56633889,   1.66800000, 119.56236831,  33.90902181, 119.54316073,  33.99691845,   4.72618094,   0.04015588, 463.76962516,   4.54998995,  22.25146183,   1.93220283,   0.11183323,  13.92135210, 269.95468735,   1.41209981,  16.53280216
AGBT17A_998_31,    ElF, RCP,   15, 57897.877188, 1055+018, Model 5s - latest, 164.62337500,   1.56633889,   1.66800000, 119.56236831,  33.90902181, 119.54316073,  33.99691845,   4.31773582,   0.04524043, 436.71148314,   5.28365710,  20.09640674,   2.24376258,   0.14048926,  13.92135210, 269.95468735,   1.45254792,  16.17383911
AGBT17A_998_31,    ElB, LCP,   16, 57897.877697, 1055+018, Model 5s - latest, 164.62337500,   1.56633889,   1.66800000, 119.72458363,  34.03405461, 119.70532531,  34.12256332,   4.64021858,   0.02509783, 461.14487226,   2.88008001,  10.03972391,   1.22305737,   0.07677197,  13.27811934, -249.48097549,   1.41209981,  17.07457173
AGBT17A_998_31,    ElB, RCP,   16, 57897.877697, 1055+018, Model 5s - latest, 164.62337500,   1.56633889,   1.66800000, 119.72458363,  34.03405461, 119.70532531,  34.12256332,   4.40415112,   0.02169669, 446.00231177,   2.53710083,  16.79105057,   1.07740752,   0.06190621,  13.27811934, -249.48097549,   1.45254792,  16.10743805
