Source     RACODE         MJDate    J2000RA    J2000Dec    ObsFreq  Pol      FLUX    FLUXERR
0648-165   RK16OK    57846.86480  102.60242   -16.62770    1.66800  RCP      2.29       0.03
0716+714   RK01IL    56603.45344  110.47270    71.34343    1.66800  LCP      1.21       0.02
0716+714   RK01IL    56603.45344  110.47270    71.34343    1.66800  RCP      1.42       0.01
0536+145   RK08BP    56927.36179   84.92652    14.56266    1.66800  LCP      0.31       0.01
0536+145   RK08BP    56927.36179   84.92652    14.56266    1.66800  RCP      0.40       0.01
0336-019   RK08PB    57054.79027   54.87890    -1.77661    1.66800  LCP      1.94       0.26
0336-019   RK08PB    57054.79027   54.87890    -1.77661    1.66800  RCP      2.31       0.29
1803+784   RK18LC    58145.33051  270.19033    78.46778    1.66800  LCP      1.47       0.04
1803+784   RK18LC    58145.33051  270.19033    78.46778    1.66800  RCP      1.70       0.09
0736+017   RK23AT    58432.33433  114.82512     1.61795    1.66800  LCP      0.81       0.01
0736+017   RK23AT    58432.33433  114.82512     1.61795    1.66800  RCP      0.89       0.02
0633+734   RK01HJ    56592.53177   99.84150    73.41612    1.66800  LCP      0.71       0.02
0633+734   RK01HJ    56592.53177   99.84150    73.41612    1.66800  RCP      0.75       0.01
0048-097   RK16BN    57682.32444   12.67217    -9.48478    1.66800  LCP      0.56       0.04
0048-097   RK16BN    57682.32444   12.67217    -9.48478    1.66800  RCP      0.63       0.07
0446+112   RK08AT    56909.40581   72.28196    11.35794    1.66800  LCP      0.67       0.05
0446+112   RK08AT    56909.40581   72.28196    11.35794    1.66800  RCP      0.73       0.05
1954+513   RK08XW    57172.49456  298.92808    51.53015    1.66800  LCP      1.38       0.02
1954+513   RK08XW    57172.49456  298.92808    51.53015    1.66800  RCP      1.68       0.02
0133+476   RK01GR    56587.02187   24.24414    47.85808    1.66800  LCP      1.07       0.04
0133+476   RK01GR    56587.02187   24.24414    47.85808    1.66800  RCP      1.29       0.08
0748+126   RE03PP    56377.94301  117.71685    12.51801    1.66800  LCP      1.88       0.27
0748+126   RE03PP    56377.94301  117.71685    12.51801    1.66800  RCP      2.15       0.09
