Source     RACODE         MJDate    J2000RA    J2000Dec    ObsFreq  Pol      FLUX    FLUXERR
0607-157   RK16MG    57813.15965   92.42063   -15.71130   22.23600  RCP      1.74       0.06
1803+784   RK16MH    57815.07774  270.19033    78.46778   22.23600  LCP      2.28       0.02
1803+784   RK16MH    57815.07774  270.19033    78.46778   22.23600  RCP      2.45       0.05
0851+202   RK08SF    57091.03293  133.70362    20.10851   22.23600  LCP      5.31       0.01
0851+202   RK08SF    57091.03293  133.70362    20.10851   22.23600  RCP      5.44       0.01
1226+023   RK12KJ    57385.41168  187.27792     2.05239   22.23600  LCP     13.34       0.56
1226+023   RK12KJ    57385.41168  187.27792     2.05239   22.23600  RCP     13.78       0.62
0646+4451  RE03DV    56206.54318  101.63344    44.85461   22.22800  LCP      1.92       0.02
0646+4451  RE03DV    56206.54318  101.63344    44.85461   22.22800  RCP      2.00       0.03
2200+420   RK18AC    57936.44779  330.68038    42.27777   22.23600  LCP      2.80       0.02
2200+420   RK18AC    57936.44779  330.68038    42.27777   22.23600  RCP      2.93       0.02
1751+441   RK08WQ    57139.51199  268.34438    44.16269   22.23600  LCP      0.44       0.01
1751+441   RK08WQ    57139.51199  268.34438    44.16269   22.23600  RCP      0.45       0.01
0851+202   RK16FR    57730.32749  133.70362    20.10851   22.23600  LCP      6.89       0.02
0851+202   RK16FR    57730.32749  133.70362    20.10851   22.23600  RCP      6.99       0.02
1055+018   RK16RC    57906.91137  164.62338     1.56634   22.23600  LCP      5.39       0.02
1055+018   RK16RC    57906.91137  164.62338     1.56634   22.23600  RCP      5.57       0.02
0555+3948  RE03DH    56198.32050   88.87836    39.81366   22.22800  LCP      2.37       0.01
0555+3948  RE03DH    56198.32050   88.87836    39.81366   22.22800  RCP      2.45       0.02
1741-038   RG11AX    57156.19685  265.99523    -3.83462   22.22800  LCP      1.92       0.01
1741-038   RG11AX    57156.19685  265.99523    -3.83462   22.22800  RCP      1.94       0.01
0851+202   RK18EZ    58078.32696  133.70362    20.10851   22.23600  LCP      4.90       0.01
0851+202   RK18EZ    58078.32696  133.70362    20.10851   22.23600  RCP      4.96       0.02
2251+158   RE03EJ    56215.07593  343.49061    16.14821   22.22800  LCP      4.04       0.03
2251+158   RE03EJ    56215.07593  343.49061    16.14821   22.22800  RCP      4.21       0.03
0851+202   RK16CR    57701.41007  133.70362    20.10851   22.23600  LCP      6.40       0.02
0851+202   RK16CR    57701.41007  133.70362    20.10851   22.23600  RCP      6.52       0.02
0430+052   RK18MS    58162.95191   68.29625     5.35434   22.23600  LCP      2.50       0.01
0430+052   RK18MS    58162.95191   68.29625     5.35434   22.23600  RCP      2.54       0.02
0646+4451  RE03DZ    56207.32748  101.63344    44.85461   22.22800  LCP      1.98       0.02
0646+4451  RE03DZ    56207.32748  101.63344    44.85461   22.22800  RCP      2.11       0.03
2251+158   RK16DA    57707.99490  343.49063    16.14821   22.23600  LCP     17.60       0.08
2251+158   RK16DA    57707.99490  343.49063    16.14821   22.23600  RCP     17.97       0.08
0851+202   RK08FH    56969.36567  133.70364    20.10851   22.23600  LCP      8.00       0.02
0851+202   RK08FH    56969.36567  133.70364    20.10851   22.23600  RCP      7.94       0.01
2251+158   RE03EM    56216.01292  343.49061    16.14821   22.22800  LCP      4.62       0.03
2251+158   RE03EM    56216.01292  343.49061    16.14821   22.22800  RCP      4.73       0.02
0955+476   RE03RZ    56411.69831  149.58196    47.41884   22.23600  LCP      0.36       0.05
0955+476   RE03RZ    56411.69831  149.58196    47.41884   22.23600  RCP      0.30       0.04
0454-234   RK12GV    57346.15780   74.26325   -23.41445   22.23600  LCP      3.12       0.02
0454-234   RK12GV    57346.15780   74.26325   -23.41445   22.23600  RCP      3.22       0.02
2253+1608  RE03GM    56258.93388  343.49062    16.14821   22.22800  LCP      4.80       0.01
2253+1608  RE03GM    56258.93388  343.49062    16.14821   22.22800  RCP      4.93       0.02
0607-157   RK18JS    58134.01498   92.42063   -15.71130   22.23600  LCP      1.77       0.02
0607-157   RK18JS    58134.01498   92.42063   -15.71130   22.23600  RCP      1.78       0.03
0808+019   RK01YS    56757.97624  122.86129     1.78117   22.23600  LCP      0.50       0.01
0808+019   RK01YS    56757.97624  122.86129     1.78117   22.23600  RCP      0.46       0.04
1751+288   RK12UL    57491.36831  268.42696    28.80137   22.23600  LCP      1.40       0.01
1751+288   RK12UL    57491.36831  268.42696    28.80137   22.23600  RCP      1.46       0.01
1641+399   RE03NC    56351.40234  250.74504    39.81028   22.23600  LCP      6.00       0.02
1641+399   RE03NC    56351.40234  250.74504    39.81028   22.23600  RCP      6.19       0.02
